City_ID,City,Lat,Lng,Humidity,Cloudiness,Wind Speed,Country,Date,Max Temp,Current Description
59,Sisimiut,66.9395,-53.6735,80,82,7.4,GL,2021-03-27 18:22:26,-5.98,broken clouds
60,Avarua,-21.2078,-159.775,83,90,11.5,CK,2021-03-27 18:20:47,80.6,overcast clouds
61,Cobija,-11.0267,-68.7692,62,75,6.91,BO,2021-03-27 18:23:55,89.6,broken clouds
62,Antofagasta,-23.65,-70.4,63,20,12.66,CL,2021-03-27 18:17:54,72.0,few clouds
63,Dunedin,-45.8742,170.5036,68,89,1.99,NZ,2021-03-27 18:21:46,61.0,overcast clouds
64,Georgetown,5.4112,100.3354,89,20,5.66,MY,2021-03-27 18:22:03,82.4,few clouds
65,Vanimo,-2.6741,141.3028,89,95,3.09,PG,2021-03-27 18:21:00,77.34,light rain
66,Kumluca,36.3703,30.2869,61,27,4.74,TR,2021-03-27 18:23:55,53.19,scattered clouds
67,Podor,16.6527,-14.9587,10,0,2.3,MR,2021-03-27 18:23:55,102.2,clear sky
68,Vila Velha,-20.3297,-40.2925,70,20,13.8,BR,2021-03-27 18:23:55,84.2,few clouds
69,Ponta Do Sol,32.6667,-17.1,62,100,5.01,PT,2021-03-27 18:20:47,59.0,overcast clouds
70,Klaksvik,62.2266,-6.589,81,75,23.02,FO,2021-03-27 18:20:50,39.2,drizzle
71,Cherskiy,68.75,161.3,99,31,5.12,RU,2021-03-27 18:16:21,-22.23,scattered clouds
72,Tambun,-6.2641,107.0712,89,40,2.3,ID,2021-03-27 18:23:56,80.01,mist
73,Cabo San Lucas,22.8909,-109.9124,60,1,4.92,MX,2021-03-27 18:17:06,78.01,clear sky
74,Kaitangata,-46.2817,169.8464,78,38,5.12,NZ,2021-03-27 18:17:16,53.64,scattered clouds
75,Kapaa,22.0752,-159.319,83,40,13.8,US,2021-03-27 18:16:55,73.4,scattered clouds
76,Provideniya,64.3833,-173.3,100,100,4.34,RU,2021-03-27 18:21:16,-4.49,overcast clouds
77,Tuatapere,-46.1333,167.6833,93,98,1.3,NZ,2021-03-27 18:21:36,55.99,light rain
78,Mirnyy,62.5353,113.9611,94,99,7.36,RU,2021-03-27 18:23:56,19.8,overcast clouds
79,Christchurch,-43.5333,172.6333,72,99,10.36,NZ,2021-03-27 18:22:20,66.99,overcast clouds
80,Upernavik,72.7868,-56.1549,76,3,4.45,GL,2021-03-27 18:20:57,-22.04,clear sky
81,Kodiak,57.79,-152.4072,43,1,18.41,US,2021-03-27 18:16:27,32.0,clear sky
82,Pyapon,16.2833,95.6833,52,28,7.85,MM,2021-03-27 18:23:57,80.58,scattered clouds
83,Tucurui,-3.7661,-49.6725,64,96,2.33,BR,2021-03-27 18:23:57,84.61,overcast clouds
84,Pevek,69.7008,170.3133,97,96,4.12,RU,2021-03-27 18:21:17,-21.46,overcast clouds
85,Saint George,37.1041,-113.5841,28,1,4.61,US,2021-03-27 18:20:23,59.0,clear sky
